feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
Smyd2,Group,0.8423,0.9207,DMSO,DESeq2,DMSO vs T4400,1.0131,0.0188,Smyd2
Smyd3,Group,0.1952,0.4034,DMSO,DESeq2,DMSO vs T4400,1.0989,0.1361,Smyd3
Smyd4,Group,0.1621,0.3583,T4400,DESeq2,DMSO vs T4400,0.9371,-0.0937,Smyd4
Smyd5,Group,0.4666,0.6694,T4400,DESeq2,DMSO vs T4400,0.969,-0.0454,Smyd5
Snai1,Group,0.0006,0.0106,T4400,DESeq2,DMSO vs T4400,0.8007,-0.3207,Snai1
Snai2,Group,0.2597,0.4807,DMSO,DESeq2,DMSO vs T4400,1.1045,0.1433,Snai2
Snai3,Group,0.0579,0.1886,T4400,DESeq2,DMSO vs T4400,0.4495,-1.1536,Snai3
Snap23,Group,0.3593,0.5785,DMSO,DESeq2,DMSO vs T4400,1.0522,0.0734,Snap23
Snap29,Group,0.1283,0.3101,DMSO,DESeq2,DMSO vs T4400,1.0768,0.1067,Snap29
Snap47,Group,0.0324,0.1292,T4400,DESeq2,DMSO vs T4400,0.9048,-0.1444,Snap47
Snapc1,Group,0.0253,0.1103,DMSO,DESeq2,DMSO vs T4400,1.1303,0.1767,Snapc1
Snapc2,Group,0.0976,0.2613,T4400,DESeq2,DMSO vs T4400,0.9315,-0.1023,Snapc2
Snapc3,Group,0.3633,0.5819,T4400,DESeq2,DMSO vs T4400,0.933,-0.1,Snapc3
Snapc4,Group,0.0498,0.1716,DMSO,DESeq2,DMSO vs T4400,1.1549,0.2077,Snapc4
Snapc5,Group,0.9913,0.9957,T4400,DESeq2,DMSO vs T4400,0.9994,-0.0009,Snapc5
Snapin,Group,0.4232,0.6339,DMSO,DESeq2,DMSO vs T4400,1.0495,0.0697,Snapin
Sncaip,Group,0.0182,0.0891,T4400,DESeq2,DMSO vs T4400,0.777,-0.364,Sncaip
Sncg,Group,0.2614,0.4829,T4400,DESeq2,DMSO vs T4400,0.7884,-0.343,Sncg
Snd1,Group,0.8152,0.9076,DMSO,DESeq2,DMSO vs T4400,1.0119,0.017,Snd1
Sned1,Group,0.3305,0.5516,T4400,DESeq2,DMSO vs T4400,0.8851,-0.1761,Sned1
Snf8,Group,0.0173,0.0863,T4400,DESeq2,DMSO vs T4400,0.8733,-0.1955,Snf8
Snhg1,Group,0.7119,0.8424,DMSO,DESeq2,DMSO vs T4400,1.0343,0.0487,Snhg1
Snhg10,Group,0.657,0.8076,T4400,DESeq2,DMSO vs T4400,0.85,-0.2345,Snhg10
Snhg11,Group,0.0667,0.2059,DMSO,DESeq2,DMSO vs T4400,1.9723,0.9799,Snhg11
Snhg12,Group,0.0067,0.0461,DMSO,DESeq2,DMSO vs T4400,1.5155,0.5998,Snhg12
Snhg14,Group,0.1649,0.3626,DMSO,DESeq2,DMSO vs T4400,1.3308,0.4123,Snhg14
Snhg17,Group,0.3455,0.5664,DMSO,DESeq2,DMSO vs T4400,1.0706,0.0984,Snhg17
Snhg18,Group,0.7184,0.8472,DMSO,DESeq2,DMSO vs T4400,1.0293,0.0417,Snhg18
Snhg20,Group,0.7478,0.8667,T4400,DESeq2,DMSO vs T4400,0.9596,-0.0595,Snhg20
Snhg3,Group,0.1196,0.2963,T4400,DESeq2,DMSO vs T4400,0.8572,-0.2222,Snhg3
Snhg4,Group,0.113,0.286,T4400,DESeq2,DMSO vs T4400,0.7842,-0.3507,Snhg4
Snhg5,Group,0.019,0.092,DMSO,DESeq2,DMSO vs T4400,1.286,0.3629,Snhg5
Snhg6,Group,0.038,0.1436,T4400,DESeq2,DMSO vs T4400,0.7879,-0.3439,Snhg6
Snhg7,Group,0.9933,0.9965,T4400,DESeq2,DMSO vs T4400,0.9983,-0.0024,Snhg7
Snhg8,Group,0.3461,0.5671,DMSO,DESeq2,DMSO vs T4400,1.1143,0.1561,Snhg8
Snip1,Group,0.0237,0.106,T4400,DESeq2,DMSO vs T4400,0.9032,-0.1469,Snip1
Snn,Group,0.0185,0.0903,T4400,DESeq2,DMSO vs T4400,0.8862,-0.1742,Snn
Snora16a,Group,0.944,0.9735,DMSO,DESeq2,DMSO vs T4400,1.015,0.0214,Snora16a
Snora17,Group,0.224,0.4393,T4400,DESeq2,DMSO vs T4400,0.6183,-0.6936,Snora17
Snora20,Group,0.0879,0.2445,DMSO,DESeq2,DMSO vs T4400,3.0429,1.6055,Snora20
Snora21,Group,0.7337,0.8568,T4400,DESeq2,DMSO vs T4400,0.8722,-0.1973,Snora21
Snora28,Group,0.9704,0.9857,T4400,DESeq2,DMSO vs T4400,0.9922,-0.0114,Snora28
Snora2b,Group,0.6109,0.7765,DMSO,DESeq2,DMSO vs T4400,1.1388,0.1875,Snora2b
Snora3,Group,0.4408,0.6485,DMSO,DESeq2,DMSO vs T4400,1.1409,0.1902,Snora3
Snora31,Group,0.5494,0.7321,T4400,DESeq2,DMSO vs T4400,0.9071,-0.1407,Snora31
Snora33,Group,0.6506,0.8043,DMSO,DESeq2,DMSO vs T4400,1.1062,0.1456,Snora33
Snora34,Group,0.3149,0.5363,DMSO,DESeq2,DMSO vs T4400,1.4731,0.5589,Snora34
Snora41,Group,0.9044,0.9542,T4400,DESeq2,DMSO vs T4400,0.976,-0.035,Snora41
Snora43,Group,0.6931,0.8301,T4400,DESeq2,DMSO vs T4400,0.8598,-0.2179,Snora43
Snora44,Group,0.5613,0.7408,T4400,DESeq2,DMSO vs T4400,0.8329,-0.2638,Snora44
Snora52,Group,0.4767,0.6772,T4400,DESeq2,DMSO vs T4400,0.8221,-0.2826,Snora52
Snora5c,Group,0.4409,0.6486,T4400,DESeq2,DMSO vs T4400,0.7477,-0.4195,Snora5c
Snora61,Group,0.5977,0.7684,T4400,DESeq2,DMSO vs T4400,0.8773,-0.1889,Snora61
Snora62,Group,0.5003,0.6965,DMSO,DESeq2,DMSO vs T4400,1.3499,0.4329,Snora62
Snora64,Group,0.3688,0.587,DMSO,DESeq2,DMSO vs T4400,1.182,0.2413,Snora64
Snora65,Group,0.7295,0.8539,T4400,DESeq2,DMSO vs T4400,0.9657,-0.0503,Snora65
Snora68,Group,0.1078,0.2776,T4400,DESeq2,DMSO vs T4400,0.5995,-0.7383,Snora68
Snora69,Group,0.4437,0.6509,T4400,DESeq2,DMSO vs T4400,0.7355,-0.4432,Snora69
Snora70,Group,0.1051,0.2737,DMSO,DESeq2,DMSO vs T4400,1.2732,0.3484,Snora70
Snora74a,Group,0.1118,0.2843,T4400,DESeq2,DMSO vs T4400,0.5683,-0.8152,Snora74a
Snora75,Group,0.0776,0.2257,DMSO,DESeq2,DMSO vs T4400,2.4999,1.3218,Snora75
Snora7a,Group,0.9729,0.9862,DMSO,DESeq2,DMSO vs T4400,1.0057,0.0081,Snora7a
Snora81,Group,0.2961,0.5178,DMSO,DESeq2,DMSO vs T4400,1.3242,0.4051,Snora81
Snord100,Group,0.0999,0.2652,DMSO,DESeq2,DMSO vs T4400,1.383,0.4678,Snord100
Snord104,Group,0.1988,0.408,T4400,DESeq2,DMSO vs T4400,0.7804,-0.3577,Snord104
Snord12,Group,0.8994,0.9519,T4400,DESeq2,DMSO vs T4400,0.9771,-0.0334,Snord12
Snord123,Group,0.6614,0.8092,T4400,DESeq2,DMSO vs T4400,0.8104,-0.3033,Snord123
Snord15b,Group,0.7198,0.8478,T4400,DESeq2,DMSO vs T4400,0.8771,-0.1892,Snord15b
Snord16a,Group,0.9596,0.9804,DMSO,DESeq2,DMSO vs T4400,1.0109,0.0156,Snord16a
Snord19,Group,0.2441,0.4623,DMSO,DESeq2,DMSO vs T4400,1.613,0.6897,Snord19
Snord1c,Group,0.8176,0.9087,DMSO,DESeq2,DMSO vs T4400,1.1053,0.1444,Snord1c
Snord2,Group,0.4031,0.6177,DMSO,DESeq2,DMSO vs T4400,1.2689,0.3436,Snord2
Snord22,Group,0.3309,0.5519,DMSO,DESeq2,DMSO vs T4400,1.2261,0.2941,Snord22
Snord35a,Group,0.9083,0.9562,DMSO,DESeq2,DMSO vs T4400,1.0637,0.0891,Snord35a
Snord42b,Group,0.9998,0.9998,DMSO,DESeq2,DMSO vs T4400,1.0001,0.0001,Snord42b
Snord43,Group,0.4631,0.6668,T4400,DESeq2,DMSO vs T4400,0.7027,-0.5089,Snord43
Snord45b,Group,0.5833,0.7581,T4400,DESeq2,DMSO vs T4400,0.8578,-0.2212,Snord45b
Snord47,Group,0.656,0.8071,DMSO,DESeq2,DMSO vs T4400,1.1858,0.2459,Snord47
Snord49a,Group,0.5787,0.7545,T4400,DESeq2,DMSO vs T4400,0.9028,-0.1475,Snord49a
Snord49b,Group,0.4927,0.6905,DMSO,DESeq2,DMSO vs T4400,1.2949,0.3728,Snord49b
Snord4a,Group,0.2455,0.4638,T4400,DESeq2,DMSO vs T4400,0.7818,-0.355,Snord4a
Snord52,Group,0.8323,0.9155,T4400,DESeq2,DMSO vs T4400,0.9677,-0.0473,Snord52
Snord55,Group,0.6543,0.8065,DMSO,DESeq2,DMSO vs T4400,1.1325,0.1795,Snord55
Snord58b,Group,0.9213,0.9627,T4400,DESeq2,DMSO vs T4400,0.9677,-0.0473,Snord58b
Snord65,Group,0.5253,0.7156,T4400,DESeq2,DMSO vs T4400,0.7421,-0.4303,Snord65
Snord69,Group,0.6034,0.7721,DMSO,DESeq2,DMSO vs T4400,1.1532,0.2057,Snord69
Snord72,Group,0.5514,0.7337,DMSO,DESeq2,DMSO vs T4400,1.1213,0.1652,Snord72
Snord73a,Group,0.4001,0.6149,DMSO,DESeq2,DMSO vs T4400,1.3393,0.4215,Snord73a
Snord83b,Group,0.4571,0.662,T4400,DESeq2,DMSO vs T4400,0.8229,-0.2812,Snord83b
Snord87,Group,0.8036,0.9005,T4400,DESeq2,DMSO vs T4400,0.8874,-0.1723,Snord87
Snord88c,Group,0.6108,0.7765,T4400,DESeq2,DMSO vs T4400,0.6842,-0.5476,Snord88c
Snord89,Group,0.7027,0.8362,T4400,DESeq2,DMSO vs T4400,0.8479,-0.2381,Snord89
Snord91a,Group,0.4608,0.6652,DMSO,DESeq2,DMSO vs T4400,1.2394,0.3096,Snord91a
Snord95,Group,0.6904,0.8283,DMSO,DESeq2,DMSO vs T4400,1.0851,0.1179,Snord95
Snord96a,Group,0.1104,0.2819,T4400,DESeq2,DMSO vs T4400,0.8646,-0.2099,Snord96a
Snord99,Group,0.8138,0.9068,T4400,DESeq2,DMSO vs T4400,0.9445,-0.0824,Snord99
Snrk,Group,0.0074,0.0495,T4400,DESeq2,DMSO vs T4400,0.8782,-0.1873,Snrk
Snrnp200,Group,0.9549,0.9781,DMSO,DESeq2,DMSO vs T4400,1.0023,0.0033,Snrnp200
Snrnp25,Group,0.2858,0.507,T4400,DESeq2,DMSO vs T4400,0.9268,-0.1096,Snrnp25
Snrnp27,Group,0.9527,0.9776,DMSO,DESeq2,DMSO vs T4400,1.0032,0.0047,Snrnp27
Snrnp35,Group,0.9601,0.9806,DMSO,DESeq2,DMSO vs T4400,1.0033,0.0048,Snrnp35
Snrnp40,Group,0.004,0.0334,T4400,DESeq2,DMSO vs T4400,0.8163,-0.2928,Snrnp40
Snrnp48,Group,0.7157,0.8454,T4400,DESeq2,DMSO vs T4400,0.9689,-0.0455,Snrnp48
Snrnp70,Group,0.1074,0.277,T4400,DESeq2,DMSO vs T4400,0.9428,-0.0849,Snrnp70
Snrpa,Group,0.0017,0.0198,T4400,DESeq2,DMSO vs T4400,0.7968,-0.3278,Snrpa
Snrpa1,Group,0.0001,0.0035,T4400,DESeq2,DMSO vs T4400,0.7723,-0.3728,Snrpa1
Snrpb,Group,0.0294,0.1217,T4400,DESeq2,DMSO vs T4400,0.8885,-0.1706,Snrpb
Snrpb2,Group,0.435,0.6438,T4400,DESeq2,DMSO vs T4400,0.9526,-0.07,Snrpb2
Snrpc,Group,0.0004,0.0083,T4400,DESeq2,DMSO vs T4400,0.8051,-0.3128,Snrpc
Snrpd1,Group,0.005,0.0385,T4400,DESeq2,DMSO vs T4400,0.7993,-0.3232,Snrpd1
Snrpd2,Group,0.0084,0.0537,T4400,DESeq2,DMSO vs T4400,0.8518,-0.2314,Snrpd2
Snrpd3,Group,0.0296,0.1225,T4400,DESeq2,DMSO vs T4400,0.8837,-0.1783,Snrpd3
Snrpe,Group,0.0015,0.0181,T4400,DESeq2,DMSO vs T4400,0.8234,-0.2803,Snrpe
Snrpf,Group,,,T4400,DESeq2,DMSO vs T4400,0.0082,-6.9314,Snrpf
Snrpg,Group,0.0432,0.1563,T4400,DESeq2,DMSO vs T4400,0.8962,-0.1581,Snrpg
Snta1,Group,0.4552,0.6601,T4400,DESeq2,DMSO vs T4400,0.9626,-0.055,Snta1
Sntb1,Group,0.465,0.668,DMSO,DESeq2,DMSO vs T4400,1.072,0.1003,Sntb1
Sntb2,Group,0.2974,0.5189,DMSO,DESeq2,DMSO vs T4400,1.0757,0.1053,Sntb2
Snupn,Group,0.4888,0.6871,T4400,DESeq2,DMSO vs T4400,0.9588,-0.0607,Snupn
Snw1,Group,0.8072,0.9024,DMSO,DESeq2,DMSO vs T4400,1.0131,0.0187,Snw1
Snx1,Group,0.6748,0.8181,T4400,DESeq2,DMSO vs T4400,0.9819,-0.0264,Snx1
Snx10,Group,0.0007,0.0116,DMSO,DESeq2,DMSO vs T4400,1.282,0.3584,Snx10
Snx11,Group,0.3177,0.5387,T4400,DESeq2,DMSO vs T4400,0.9283,-0.1073,Snx11
Snx12,Group,0.0425,0.1544,T4400,DESeq2,DMSO vs T4400,0.9292,-0.1059,Snx12
Snx13,Group,0.1804,0.3842,DMSO,DESeq2,DMSO vs T4400,1.1774,0.2356,Snx13
Snx14,Group,0.0454,0.1614,DMSO,DESeq2,DMSO vs T4400,1.1178,0.1607,Snx14
Snx15,Group,0.0316,0.1273,T4400,DESeq2,DMSO vs T4400,0.9023,-0.1483,Snx15
Snx16,Group,0.0255,0.1113,DMSO,DESeq2,DMSO vs T4400,1.176,0.2339,Snx16
Snx17,Group,0.148,0.3387,T4400,DESeq2,DMSO vs T4400,0.9203,-0.1199,Snx17
Snx18,Group,0,0.0019,DMSO,DESeq2,DMSO vs T4400,1.4161,0.5019,Snx18
Snx19,Group,0.3272,0.5479,DMSO,DESeq2,DMSO vs T4400,1.0451,0.0636,Snx19
Snx2,Group,0.0699,0.2118,DMSO,DESeq2,DMSO vs T4400,1.1003,0.1379,Snx2
Snx21,Group,0.9443,0.9736,DMSO,DESeq2,DMSO vs T4400,1.0041,0.0058,Snx21
Snx22,Group,0.0007,0.0115,T4400,DESeq2,DMSO vs T4400,0.5197,-0.9442,Snx22
Snx24,Group,0.0617,0.1961,DMSO,DESeq2,DMSO vs T4400,1.1062,0.1457,Snx24
Snx25,Group,0.5356,0.7222,DMSO,DESeq2,DMSO vs T4400,1.0373,0.0528,Snx25
Snx27,Group,0.7257,0.8512,DMSO,DESeq2,DMSO vs T4400,1.0134,0.0192,Snx27
Snx29,Group,0.006,0.0434,DMSO,DESeq2,DMSO vs T4400,1.4259,0.5119,Snx29
Snx3,Group,0.0636,0.1997,T4400,DESeq2,DMSO vs T4400,0.9318,-0.1019,Snx3
Snx30,Group,0.0022,0.0228,DMSO,DESeq2,DMSO vs T4400,1.2512,0.3233,Snx30
Snx32,Group,0.9369,0.9698,DMSO,DESeq2,DMSO vs T4400,1.01,0.0143,Snx32
Snx33,Group,0.0244,0.1077,DMSO,DESeq2,DMSO vs T4400,1.182,0.2412,Snx33
Snx4,Group,0.323,0.5441,T4400,DESeq2,DMSO vs T4400,0.9522,-0.0707,Snx4
Snx5,Group,0.4505,0.6565,DMSO,DESeq2,DMSO vs T4400,1.0277,0.0394,Snx5
Snx6,Group,0.1348,0.3196,DMSO,DESeq2,DMSO vs T4400,1.0568,0.0797,Snx6
Snx7,Group,0.2177,0.432,T4400,DESeq2,DMSO vs T4400,0.9223,-0.1167,Snx7
Snx8,Group,0.5364,0.7229,T4400,DESeq2,DMSO vs T4400,0.9701,-0.0437,Snx8
Snx9,Group,0.0006,0.0102,DMSO,DESeq2,DMSO vs T4400,1.1761,0.234,Snx9
Soat1,Group,0.3315,0.5523,DMSO,DESeq2,DMSO vs T4400,1.0554,0.0778,Soat1
Sobp,Group,0.734,0.8571,T4400,DESeq2,DMSO vs T4400,0.9589,-0.0606,Sobp
Socs1,Group,0.9655,0.983,T4400,DESeq2,DMSO vs T4400,0.9959,-0.006,Socs1
Socs2,Group,0.3924,0.6085,T4400,DESeq2,DMSO vs T4400,0.9344,-0.0979,Socs2
Socs3,Group,0.0008,0.0126,DMSO,DESeq2,DMSO vs T4400,1.4988,0.5839,Socs3
Socs4,Group,0.7278,0.8525,DMSO,DESeq2,DMSO vs T4400,1.0422,0.0597,Socs4
Socs5,Group,0.6996,0.8343,DMSO,DESeq2,DMSO vs T4400,1.0135,0.0193,Socs5
Socs6,Group,0.5435,0.7277,DMSO,DESeq2,DMSO vs T4400,1.0376,0.0533,Socs6
Socs7,Group,0.2182,0.4328,T4400,DESeq2,DMSO vs T4400,0.9405,-0.0885,Socs7
Sod1,Group,0.9163,0.9604,DMSO,DESeq2,DMSO vs T4400,1.0067,0.0097,Sod1
Sod2,Group,0,0.0018,DMSO,DESeq2,DMSO vs T4400,1.9203,0.9414,Sod2
Sod3,Group,0.3321,0.553,T4400,DESeq2,DMSO vs T4400,0.927,-0.1094,Sod3
Soga1,Group,0.7011,0.8352,T4400,DESeq2,DMSO vs T4400,0.9748,-0.0368,Soga1
Soga3,Group,0.3541,0.5741,DMSO,DESeq2,DMSO vs T4400,1.2192,0.2859,Soga3
Sohlh2,Group,0.1759,0.3782,T4400,DESeq2,DMSO vs T4400,0.8009,-0.3203,Sohlh2
Son,Group,0.2534,0.4735,DMSO,DESeq2,DMSO vs T4400,1.0804,0.1116,Son
Sorbs1,Group,0.4158,0.6281,DMSO,DESeq2,DMSO vs T4400,1.0529,0.0744,Sorbs1
Sorbs2,Group,0.0055,0.0408,DMSO,DESeq2,DMSO vs T4400,1.3859,0.4708,Sorbs2
Sorbs2os,Group,0.0284,0.1193,DMSO,DESeq2,DMSO vs T4400,2.3036,1.2039,Sorbs2os
Sorbs3,Group,0.5714,0.7488,T4400,DESeq2,DMSO vs T4400,0.9764,-0.0345,Sorbs3
Sorcs1,Group,0.6062,0.7738,DMSO,DESeq2,DMSO vs T4400,1.0831,0.1152,Sorcs1
Sorcs2,Group,0.4409,0.6486,DMSO,DESeq2,DMSO vs T4400,1.0631,0.0883,Sorcs2
Sord,Group,0.7933,0.8942,DMSO,DESeq2,DMSO vs T4400,1.0232,0.033,Sord
Sort1,Group,0.2796,0.501,T4400,DESeq2,DMSO vs T4400,0.8929,-0.1635,Sort1
Sos1,Group,0.1263,0.3074,DMSO,DESeq2,DMSO vs T4400,1.1642,0.2193,Sos1
Sos2,Group,0.0094,0.0575,DMSO,DESeq2,DMSO vs T4400,1.232,0.301,Sos2
Sowahc,Group,0.0517,0.176,DMSO,DESeq2,DMSO vs T4400,1.1971,0.2595,Sowahc
Sox11,Group,0.9667,0.9834,DMSO,DESeq2,DMSO vs T4400,1.004,0.0058,Sox11
Sox12,Group,0.5108,0.7045,T4400,DESeq2,DMSO vs T4400,0.937,-0.0939,Sox12
Sox13,Group,0.5701,0.7485,DMSO,DESeq2,DMSO vs T4400,1.0914,0.1262,Sox13
Sox18,Group,0.0281,0.1188,T4400,DESeq2,DMSO vs T4400,0.4842,-1.0462,Sox18
Sox30,Group,0.1968,0.4056,DMSO,DESeq2,DMSO vs T4400,2.6103,1.3842,Sox30
Sox4,Group,0.0538,0.1801,DMSO,DESeq2,DMSO vs T4400,1.1798,0.2385,Sox4
Sox5,Group,0.0548,0.1821,DMSO,DESeq2,DMSO vs T4400,1.3651,0.449,Sox5
Sox8,Group,0.0018,0.0205,T4400,DESeq2,DMSO vs T4400,0.4302,-1.217,Sox8
Sox9,Group,0.4278,0.6376,DMSO,DESeq2,DMSO vs T4400,1.1135,0.1551,Sox9
Sp1,Group,0.1679,0.3668,DMSO,DESeq2,DMSO vs T4400,1.1432,0.1931,Sp1
Sp100,Group,0.9482,0.9754,T4400,DESeq2,DMSO vs T4400,0.9896,-0.0151,Sp100
Sp140,Group,0.445,0.6516,DMSO,DESeq2,DMSO vs T4400,1.3146,0.3946,Sp140
Sp2,Group,0.5171,0.7098,T4400,DESeq2,DMSO vs T4400,0.9583,-0.0615,Sp2
Sp3,Group,0.3839,0.6004,DMSO,DESeq2,DMSO vs T4400,1.1022,0.1403,Sp3
Sp3os,Group,0.0523,0.177,DMSO,DESeq2,DMSO vs T4400,1.3487,0.4316,Sp3os
Sp4,Group,0.4451,0.6517,DMSO,DESeq2,DMSO vs T4400,1.1088,0.149,Sp4
Sp6,Group,0.2184,0.433,T4400,DESeq2,DMSO vs T4400,0.917,-0.1251,Sp6
Sp7,Group,0.1695,0.369,T4400,DESeq2,DMSO vs T4400,0.5498,-0.8631,Sp7
Sp8,Group,0.278,0.4994,T4400,DESeq2,DMSO vs T4400,0.7666,-0.3834,Sp8
Sp9,Group,0.6983,0.8334,DMSO,DESeq2,DMSO vs T4400,1.2368,0.3066,Sp9
Spa17,Group,0.3934,0.6093,DMSO,DESeq2,DMSO vs T4400,1.2216,0.2887,Spa17
Spaca6,Group,0.1767,0.379,DMSO,DESeq2,DMSO vs T4400,1.1756,0.2334,Spaca6
Spag1,Group,0.7827,0.8878,T4400,DESeq2,DMSO vs T4400,0.9694,-0.0449,Spag1
Spag4,Group,0.1698,0.3694,T4400,DESeq2,DMSO vs T4400,0.759,-0.3977,Spag4
Spag5,Group,0.0016,0.019,T4400,DESeq2,DMSO vs T4400,0.5722,-0.8053,Spag5
Spag6l,Group,0.3021,0.5236,DMSO,DESeq2,DMSO vs T4400,1.3227,0.4035,Spag6l
Spag7,Group,0.4176,0.6296,T4400,DESeq2,DMSO vs T4400,0.9639,-0.0531,Spag7
Spag8,Group,0.2408,0.4588,DMSO,DESeq2,DMSO vs T4400,1.7581,0.814,Spag8
Spag9,Group,0.0425,0.1544,DMSO,DESeq2,DMSO vs T4400,1.2377,0.3077,Spag9
Sparc,Group,0.0013,0.0172,T4400,DESeq2,DMSO vs T4400,0.794,-0.3328,Sparc
Sparcl1,Group,0.0062,0.0443,T4400,DESeq2,DMSO vs T4400,0.4771,-1.0677,Sparcl1
Spast,Group,0.2053,0.4166,DMSO,DESeq2,DMSO vs T4400,1.0738,0.1027,Spast
Spata1,Group,0.1438,0.3325,DMSO,DESeq2,DMSO vs T4400,1.269,0.3437,Spata1
Spata13,Group,0.0146,0.0773,T4400,DESeq2,DMSO vs T4400,0.6956,-0.5237,Spata13
Spata2,Group,0.118,0.2942,DMSO,DESeq2,DMSO vs T4400,1.0801,0.1111,Spata2
Spata24,Group,0.2721,0.4935,T4400,DESeq2,DMSO vs T4400,0.8902,-0.1677,Spata24
Spata2l,Group,0.5009,0.697,T4400,DESeq2,DMSO vs T4400,0.9002,-0.1517,Spata2l
Spata33,Group,0.556,0.7369,T4400,DESeq2,DMSO vs T4400,0.882,-0.1811,Spata33
Spata5,Group,0.5825,0.7577,DMSO,DESeq2,DMSO vs T4400,1.0274,0.039,Spata5
Spata5l1,Group,0.9888,0.9944,DMSO,DESeq2,DMSO vs T4400,1.0017,0.0024,Spata5l1
Spata6,Group,0.2363,0.4533,DMSO,DESeq2,DMSO vs T4400,1.0742,0.1032,Spata6
Spata7,Group,0.2194,0.434,DMSO,DESeq2,DMSO vs T4400,1.0813,0.1127,Spata7
Spata9,Group,0.9232,0.9636,DMSO,DESeq2,DMSO vs T4400,1.0237,0.0338,Spata9
Spats2,Group,0.0617,0.1961,T4400,DESeq2,DMSO vs T4400,0.9178,-0.1237,Spats2
Spats2l,Group,0.0083,0.0534,T4400,DESeq2,DMSO vs T4400,0.5109,-0.9688,Spats2l
Spc24,Group,0.0034,0.0302,T4400,DESeq2,DMSO vs T4400,0.3873,-1.3686,Spc24
Spc25,Group,0.0022,0.0229,T4400,DESeq2,DMSO vs T4400,0.5901,-0.7608,Spc25
Spcs1,Group,0.5558,0.7368,T4400,DESeq2,DMSO vs T4400,0.9709,-0.0427,Spcs1
Spcs2,Group,0.0026,0.0258,DMSO,DESeq2,DMSO vs T4400,1.2716,0.3467,Spcs2
Spcs3,Group,0.0011,0.0156,DMSO,DESeq2,DMSO vs T4400,1.2889,0.3662,Spcs3
Spdl1,Group,0.0358,0.1386,T4400,DESeq2,DMSO vs T4400,0.6761,-0.5648,Spdl1
Spdya,Group,0.7941,0.8946,DMSO,DESeq2,DMSO vs T4400,1.1083,0.1483,Spdya
Specc1,Group,0.4304,0.6397,T4400,DESeq2,DMSO vs T4400,0.9494,-0.075,Specc1
Specc1l,Group,0.0599,0.1922,T4400,DESeq2,DMSO vs T4400,0.9097,-0.1365,Specc1l
Spef1,Group,0.0402,0.1489,DMSO,DESeq2,DMSO vs T4400,1.2118,0.2771,Spef1
Speg,Group,0.2564,0.477,T4400,DESeq2,DMSO vs T4400,0.961,-0.0574,Speg
Spen,Group,0.018,0.0889,DMSO,DESeq2,DMSO vs T4400,1.1934,0.2551,Spen
Spg11,Group,0.0006,0.0102,DMSO,DESeq2,DMSO vs T4400,1.264,0.338,Spg11
Spg20,Group,0.3072,0.5288,T4400,DESeq2,DMSO vs T4400,0.9547,-0.0669,Spg20
Spg21,Group,0.0946,0.2559,DMSO,DESeq2,DMSO vs T4400,1.1125,0.1538,Spg21
Spg7,Group,0.1997,0.4095,T4400,DESeq2,DMSO vs T4400,0.9495,-0.0747,Spg7
Sphk1,Group,0.0022,0.0228,DMSO,DESeq2,DMSO vs T4400,1.3652,0.4491,Sphk1
Sphk2,Group,0.7137,0.8436,T4400,DESeq2,DMSO vs T4400,0.9811,-0.0275,Sphk2
Spice1,Group,0.0479,0.1676,DMSO,DESeq2,DMSO vs T4400,1.1328,0.1799,Spice1
Spidr,Group,0.009,0.0561,DMSO,DESeq2,DMSO vs T4400,1.3992,0.4846,Spidr
Spin1,Group,0.07,0.2118,T4400,DESeq2,DMSO vs T4400,0.9243,-0.1136,Spin1
Spin2c,Group,0.4235,0.6341,T4400,DESeq2,DMSO vs T4400,0.7849,-0.3495,Spin2c
Spin4,Group,0.4814,0.6807,DMSO,DESeq2,DMSO vs T4400,1.1145,0.1564,Spin4
Spink4,Group,0.4945,0.6923,T4400,DESeq2,DMSO vs T4400,0.6426,-0.6381,Spink4
Spink5,Group,0.0199,0.0944,DMSO,DESeq2,DMSO vs T4400,6.2367,2.6408,Spink5
Spint1,Group,0.3681,0.5867,DMSO,DESeq2,DMSO vs T4400,1.0941,0.1297,Spint1
Spint2,Group,0.352,0.5718,T4400,DESeq2,DMSO vs T4400,0.4849,-1.0444,Spint2
Spire1,Group,0.0028,0.0267,DMSO,DESeq2,DMSO vs T4400,1.1506,0.2024,Spire1
Spire2,Group,0.0057,0.0419,T4400,DESeq2,DMSO vs T4400,0.6894,-0.5365,Spire2
Spn,Group,0.0541,0.1808,T4400,DESeq2,DMSO vs T4400,0.8833,-0.179,Spn
Spns1,Group,0.0042,0.0343,DMSO,DESeq2,DMSO vs T4400,1.1755,0.2333,Spns1
Spns2,Group,0.018,0.0887,T4400,DESeq2,DMSO vs T4400,0.6267,-0.6741,Spns2
Spock1,Group,0.0112,0.0648,T4400,DESeq2,DMSO vs T4400,0.3302,-1.5987,Spock1
Spock2,Group,0.0000025587,0.0005,T4400,DESeq2,DMSO vs T4400,0.7627,-0.3907,Spock2
Spon1,Group,0.6924,0.8297,DMSO,DESeq2,DMSO vs T4400,1.1616,0.2162,Spon1
Spon2,Group,5.0586e-8,0,T4400,DESeq2,DMSO vs T4400,0.534,-0.905,Spon2
