feature,Estimate_group,pvalue,fdr,sign_group,method,vs,fold_change,log2FC,_row
Col11a1,Group,0.4865,0.6847,T4400,DESeq2,DMSO vs T4400,0.8511,-0.2326,Col11a1
Col11a2,Group,0.1601,0.3557,DMSO,DESeq2,DMSO vs T4400,1.2678,0.3423,Col11a2
Col12a1,Group,0.1428,0.3314,DMSO,DESeq2,DMSO vs T4400,1.0769,0.1069,Col12a1
Col13a1,Group,0.1627,0.3592,T4400,DESeq2,DMSO vs T4400,0.7117,-0.4907,Col13a1
Col14a1,Group,0.0115,0.0659,DMSO,DESeq2,DMSO vs T4400,1.3391,0.4213,Col14a1
Col15a1,Group,0.5813,0.7567,T4400,DESeq2,DMSO vs T4400,0.717,-0.48,Col15a1
Col16a1,Group,0.1937,0.4016,DMSO,DESeq2,DMSO vs T4400,1.0646,0.0903,Col16a1
Col17a1,Group,0.8769,0.9417,T4400,DESeq2,DMSO vs T4400,0.9798,-0.0295,Col17a1
Col18a1,Group,0.0007,0.0116,T4400,DESeq2,DMSO vs T4400,0.6702,-0.5773,Col18a1
Col19a1,Group,0.8994,0.9519,DMSO,DESeq2,DMSO vs T4400,1.0243,0.0346,Col19a1
Col1a1,Group,0.0524,0.1773,T4400,DESeq2,DMSO vs T4400,0.6165,-0.6978,Col1a1
Col1a2,Group,0.0024,0.024,T4400,DESeq2,DMSO vs T4400,0.7612,-0.3937,Col1a2
Col20a1,Group,0.7914,0.8931,DMSO,DESeq2,DMSO vs T4400,1.0489,0.0688,Col20a1
Col23a1,Group,0.0097,0.0585,T4400,DESeq2,DMSO vs T4400,0.5861,-0.7708,Col23a1
Col24a1,Group,0.151,0.3425,T4400,DESeq2,DMSO vs T4400,0.8095,-0.3049,Col24a1
Col25a1,Group,0.8752,0.941,T4400,DESeq2,DMSO vs T4400,0.9652,-0.0511,Col25a1
Col26a1,Group,0.0327,0.13,T4400,DESeq2,DMSO vs T4400,0.6211,-0.687,Col26a1
Col27a1,Group,0.8033,0.9002,T4400,DESeq2,DMSO vs T4400,0.9751,-0.0364,Col27a1
Col28a1,Group,0.0034,0.0305,DMSO,DESeq2,DMSO vs T4400,2.1353,1.0944,Col28a1
Col3a1,Group,0.8462,0.9233,T4400,DESeq2,DMSO vs T4400,0.9917,-0.012,Col3a1
Col4a1,Group,0.0645,0.2018,T4400,DESeq2,DMSO vs T4400,0.9006,-0.1511,Col4a1
Col4a2,Group,0.1043,0.2722,T4400,DESeq2,DMSO vs T4400,0.9178,-0.1238,Col4a2
Col4a3bp,Group,0.032,0.1282,DMSO,DESeq2,DMSO vs T4400,1.1929,0.2545,Col4a3bp
Col4a4,Group,0.9241,0.9639,DMSO,DESeq2,DMSO vs T4400,1.0601,0.0842,Col4a4
Col4a5,Group,0.5126,0.7057,T4400,DESeq2,DMSO vs T4400,0.9292,-0.1059,Col4a5
Col4a6,Group,0.1708,0.3706,T4400,DESeq2,DMSO vs T4400,0.7472,-0.4204,Col4a6
Col5a1,Group,0.0155,0.0802,T4400,DESeq2,DMSO vs T4400,0.7475,-0.4198,Col5a1
Col5a2,Group,0.7404,0.8619,T4400,DESeq2,DMSO vs T4400,0.9847,-0.0223,Col5a2
Col5a3,Group,0.0405,0.1497,T4400,DESeq2,DMSO vs T4400,0.7698,-0.3775,Col5a3
Col6a1,Group,0.0000049252,0.0007,T4400,DESeq2,DMSO vs T4400,0.6177,-0.6951,Col6a1
Col6a2,Group,0,0.0017,T4400,DESeq2,DMSO vs T4400,0.5736,-0.8018,Col6a2
Col6a3,Group,0,0.0012,T4400,DESeq2,DMSO vs T4400,0.6302,-0.6661,Col6a3
Col6a4,Group,0.5951,0.7665,T4400,DESeq2,DMSO vs T4400,0.8696,-0.2017,Col6a4
Col7a1,Group,0.8608,0.9331,DMSO,DESeq2,DMSO vs T4400,1.0287,0.0408,Col7a1
Col8a1,Group,0.0582,0.1889,T4400,DESeq2,DMSO vs T4400,0.767,-0.3827,Col8a1
Col8a2,Group,0.0001,0.0041,T4400,DESeq2,DMSO vs T4400,0.4824,-1.0516,Col8a2
Col9a3,Group,0.3071,0.5287,T4400,DESeq2,DMSO vs T4400,0.6562,-0.6078,Col9a3
Colec10,Group,0.0606,0.1938,DMSO,DESeq2,DMSO vs T4400,1.7268,0.7881,Colec10
Colec12,Group,0.0034,0.0305,DMSO,DESeq2,DMSO vs T4400,1.2889,0.3661,Colec12
Colgalt1,Group,0.0225,0.1024,T4400,DESeq2,DMSO vs T4400,0.9266,-0.1099,Colgalt1
Colq,Group,0.0078,0.0508,T4400,DESeq2,DMSO vs T4400,0.6897,-0.536,Colq
Commd1,Group,0.0682,0.2086,T4400,DESeq2,DMSO vs T4400,0.9089,-0.1378,Commd1
Commd10,Group,0.1049,0.2732,T4400,DESeq2,DMSO vs T4400,0.9447,-0.0821,Commd10
Commd2,Group,0.1785,0.3816,T4400,DESeq2,DMSO vs T4400,0.9165,-0.1258,Commd2
Commd3,Group,0.6965,0.8322,T4400,DESeq2,DMSO vs T4400,0.9825,-0.0255,Commd3
Commd4,Group,0.5637,0.7426,DMSO,DESeq2,DMSO vs T4400,1.0359,0.0509,Commd4
Commd5,Group,0.0006,0.0099,T4400,DESeq2,DMSO vs T4400,0.8271,-0.2739,Commd5
Commd6,Group,0.0261,0.113,DMSO,DESeq2,DMSO vs T4400,1.1193,0.1627,Commd6
Commd7,Group,0.4393,0.6471,DMSO,DESeq2,DMSO vs T4400,1.0452,0.0638,Commd7
Commd8,Group,0.0229,0.1035,DMSO,DESeq2,DMSO vs T4400,1.1372,0.1855,Commd8
Commd9,Group,0.3778,0.5948,T4400,DESeq2,DMSO vs T4400,0.9557,-0.0653,Commd9
Comp,Group,0.0033,0.0298,T4400,DESeq2,DMSO vs T4400,0.4462,-1.1642,Comp
Comt,Group,0.7257,0.8512,DMSO,DESeq2,DMSO vs T4400,1.0235,0.0336,Comt
Comtd1,Group,0.1246,0.3045,DMSO,DESeq2,DMSO vs T4400,1.1564,0.2097,Comtd1
Copa,Group,0.0648,0.2024,T4400,DESeq2,DMSO vs T4400,0.9541,-0.0677,Copa
Copb1,Group,0.881,0.9444,DMSO,DESeq2,DMSO vs T4400,1.0059,0.0086,Copb1
Copb2,Group,0.1277,0.3092,T4400,DESeq2,DMSO vs T4400,0.9297,-0.1052,Copb2
Cope,Group,0.7091,0.8404,DMSO,DESeq2,DMSO vs T4400,1.0145,0.0207,Cope
Copg1,Group,0.0004,0.0083,T4400,DESeq2,DMSO vs T4400,0.8926,-0.164,Copg1
Copg2,Group,0.0981,0.2621,T4400,DESeq2,DMSO vs T4400,0.9341,-0.0984,Copg2
Coprs,Group,0.3511,0.5711,DMSO,DESeq2,DMSO vs T4400,1.0837,0.116,Coprs
Cops2,Group,0.1544,0.3474,DMSO,DESeq2,DMSO vs T4400,1.1219,0.166,Cops2
Cops3,Group,0.0047,0.0369,T4400,DESeq2,DMSO vs T4400,0.8475,-0.2387,Cops3
Cops4,Group,0.002,0.0216,T4400,DESeq2,DMSO vs T4400,0.8759,-0.1912,Cops4
Cops5,Group,0.0131,0.072,T4400,DESeq2,DMSO vs T4400,0.8346,-0.2608,Cops5
Cops6,Group,0.0265,0.1143,T4400,DESeq2,DMSO vs T4400,0.8756,-0.1916,Cops6
Cops7a,Group,0.4913,0.6891,T4400,DESeq2,DMSO vs T4400,0.9661,-0.0497,Cops7a
Cops7b,Group,0.1116,0.2839,T4400,DESeq2,DMSO vs T4400,0.9064,-0.1418,Cops7b
Cops8,Group,0.0411,0.1508,T4400,DESeq2,DMSO vs T4400,0.9239,-0.1141,Cops8
Copz1,Group,0.0002,0.0049,T4400,DESeq2,DMSO vs T4400,0.9066,-0.1415,Copz1
Copz2,Group,0.0003,0.0069,T4400,DESeq2,DMSO vs T4400,0.836,-0.2585,Copz2
Coq10a,Group,0.0638,0.2001,DMSO,DESeq2,DMSO vs T4400,1.1445,0.1947,Coq10a
Coq10b,Group,0.1597,0.3552,T4400,DESeq2,DMSO vs T4400,0.9123,-0.1323,Coq10b
Coq2,Group,0.4902,0.6885,DMSO,DESeq2,DMSO vs T4400,1.0326,0.0462,Coq2
Coq3,Group,0.6082,0.775,T4400,DESeq2,DMSO vs T4400,0.9713,-0.042,Coq3
Coq4,Group,0.333,0.5536,DMSO,DESeq2,DMSO vs T4400,1.0735,0.1024,Coq4
Coq5,Group,0.1098,0.2811,T4400,DESeq2,DMSO vs T4400,0.912,-0.1328,Coq5
Coq6,Group,0.0015,0.0182,T4400,DESeq2,DMSO vs T4400,0.8519,-0.2312,Coq6
Coq7,Group,0.0775,0.2257,T4400,DESeq2,DMSO vs T4400,0.8796,-0.185,Coq7
Coq9,Group,0.0205,0.0964,T4400,DESeq2,DMSO vs T4400,0.8938,-0.162,Coq9
Coro1a,Group,0.9368,0.9698,DMSO,DESeq2,DMSO vs T4400,1.0195,0.0279,Coro1a
